batch	status	exit_code	log	detail
preflight	PASS	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/preflight.log	ok
permission-parity	PASS	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/permission-parity.log	ok
compose-bootstrap	PASS	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/compose-bootstrap.log	ok
backend-lint	FAIL	1	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-lint.log	exit=1
backend-pytest-shard-01	FAIL	1	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-01.log	exit=1
backend-pytest-shard-02	PASS	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-02.log	ok
backend-pytest-shard-03	WARNING	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-03.log	exit=0 with warning patterns
backend-pytest-shard-04	FAIL	1	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-04.log	exit=1
backend-pytest-shard-05	FAIL	1	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-05.log	exit=1
backend-pytest-shard-06	WARNING	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-06.log	exit=0 with warning patterns
backend-pytest-shard-07	PASS	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-07.log	ok
backend-pytest-shard-08	FAIL	132	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-08.log	exit=132
backend-pytest-shard-09	WARNING	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-09.log	exit=0 with warning patterns
backend-pytest-shard-10	WARNING	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-10.log	exit=0 with warning patterns
backend-pytest-shard-11	FAIL	1	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-11.log	exit=1
backend-pytest-shard-12	WARNING	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-12.log	exit=0 with warning patterns
backend-pytest-shard-13	FAIL	1	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-13.log	exit=1
backend-pytest-shard-14	FAIL	1	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-14.log	exit=1
backend-pytest-shard-15	PASS	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-15.log	ok
backend-pytest-shard-16	WARNING	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-16.log	exit=0 with warning patterns
backend-pytest-shard-17	PASS	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-17.log	ok
backend-pytest-shard-18	PASS	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-18.log	ok
backend-pytest-shard-19	PASS	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-19.log	ok
backend-pytest-shard-20	PASS	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-20.log	ok
backend-pytest-shard-21	PASS	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-21.log	ok
backend-pytest-shard-22	PASS	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shard-22.log	ok
backend-pytest-shards	PASS	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/backend-pytest-shards.log	539 files across 22 shards
frontend-lint	PASS	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/frontend-lint.log	ok
frontend-tests	FAIL	1	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/frontend-tests.log	exit=1
domain-layer-gate	FAIL	1	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/domain-layer-gate.log	exit=1
data-layer-gate	WARNING	0	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/data-layer-gate.log	exit=0 with warning patterns
smoke-gate	FAIL	1	/home/sbs/AI/artifacts/audits/pass-fail-warning-coverage/20260504T035459Z/smoke-gate.log	exit=1
